入网时间,套餐价格,每月流量,每月话费,每月通话时长,欠费金额,欠费月份数
16.0,189.0,0.0,0.0,0.0,0.0,0.0
25.0,189.0,0.0,189.0,0.0,387.0,3.0
17.0,389.0,0.0,389.0,624.694444444,0.0,0.0
23.0,389.0,573.987792969,389.0,139.536111111,0.0,0.0
26.0,289.0,0.0,0.0,0.0,0.0,0.0
28.0,389.0,508.346028646,1.0,684.597222222,0.0,0.0
16.0,159.0,0.0,160.0,0.0,1377.41,11.0
15.0,19.0,0.0,40.0,194.997222222,0.0,0.0
127.0,159.0,0.0,12.815,0.0,0.0,0.0
23.0,159.0,15.265625,7.595,7.00555555556,0.0,0.0
29.0,159.0,33.4689127604,49.45,159.961111111,0.0,0.0
32.0,159.0,0.0,4.0,0.0,0.0,0.0
22.0,89.0,188.936197917,97.0666666667,465.494444444,0.0,0.0
28.0,289.0,0.0,290.0,0.0,0.0,0.0
19.0,89.0,0.0,89.0,0.0,375.12,7.0
33.0,389.0,1650.21468099,459.983333333,2383.69722222,0.0,0.0
21.0,389.0,1748.64160156,425.063333333,2315.03333333,0.0,0.0
27.0,159.0,0.0,0.0,0.0,0.0,0.0
15.0,389.0,0.0,0.0,0.0,0.0,0.0
27.0,389.0,0.0,400.0,3.67222222222,0.0,0.0
38.0,159.0,0.0,0.0,0.0,0.0,0.0
25.0,89.0,0.0,89.0,0.0722222222222,177.0,3.0
20.0,389.0,1556.79557292,405.15,249.969444444,0.0,0.0
28.0,89.0,0.0,90.0,0.0,180.0,3.0
13.0,129.0,0.0,0.0,0.0,0.0,0.0
25.0,189.0,362.161946615,221.881666667,298.505555556,0.0,0.0
28.0,389.0,1472.69026693,400.0,379.872222222,11.53,1.0
15.0,389.0,1938.49186198,449.2,836.394444444,0.0,0.0
23.0,389.0,0.0533854166667,0.0,295.141666667,0.0,0.0
117.0,99.0,0.0,2.0,0.0,0.0,0.0
24.0,389.0,0.0,390.0,0.0,49.62,1.0
133.0,159.0,0.0,4.005,0.0,0.0,0.0
12.0,39.0,19.4223632812,49.75,96.3694444444,14.82,1.0
16.0,389.0,1014.13802083,390.0,463.983333333,0.0,0.0
63.0,89.0,168.41780599,5.69666666667,366.975,0.0,0.0
23.0,159.0,0.0,16.1483333333,0.0,0.0,0.0
20.0,389.0,192.120279948,390.0,223.880555556,0.0,0.0
27.0,129.0,258.536458333,131.0,19.4777777778,0.0,0.0
103.0,159.0,43.0887044271,50.1166666667,287.280555556,0.0,0.0
28.0,100.0,297.118977865,120.091666667,745.175,100.0,1.0
25.0,129.0,0.0,130.0,0.0,234.36,4.0
29.0,159.0,0.0,4.0,0.0,0.0,0.0
16.0,159.0,0.0,0.0,0.0,0.0,0.0
28.0,159.0,9.82552083333,4.925,89.8472222222,0.0,0.0
25.0,129.0,257.231119792,139.0,275.266666667,2.85,1.0
27.0,89.0,0.0,89.0,0.0,0.0,0.0
14.0,159.0,0.0,8.71666666667,0.0,0.0,0.0
16.0,389.0,1035.59521484,390.833333333,701.980555556,0.0,0.0
16.0,389.0,0.0,0.0,0.0,0.0,0.0
117.0,159.0,95.8707682292,14.4916666667,215.833333333,0.0,0.0
42.0,159.0,86.9007161458,4.11666666667,389.797222222,0.0,0.0
12.0,19.0,638.112304688,82.6533333333,1088.70277778,0.0,0.0
30.0,209.0,0.0,13.81,0.0,0.0,0.0
39.0,69.0,0.0,280.0,507.2,140.4,2.0
179.0,159.0,0.0,7.78666666667,0.0,0.0,0.0
14.0,19.0,186.610677083,40.0,3.88055555556,0.0,0.0
27.0,389.0,0.0,1.0,0.0,0.0,0.0
13.0,89.0,0.0,0.0,0.0,0.0,0.0
19.0,159.0,0.0,10.0,0.0,0.0,0.0
16.0,159.0,0.0,0.0,0.0,0.0,0.0
41.0,159.0,0.0,86.8333333333,54.6277777778,0.0,0.0
26.0,389.0,0.0,0.0,0.0,0.0,0.0
41.0,159.0,0.0,86.8666666667,436.4,3.8,1.0
63.0,80.0,0.0,93.05,330.716666667,0.0,0.0
17.0,209.0,126.016601562,25.06,674.688888889,0.0,0.0
121.0,59.0,281.681477865,112.888333333,575.35,0.0,0.0
23.0,289.0,652.067382812,290.0,72.3194444444,0.0,0.0
14.0,89.0,108.451985677,92.0,14.6222222222,110.0,2.0
16.0,159.0,0.0,0.0,0.0,0.0,0.0
166.0,99.0,0.0,2.0,0.0,0.0,0.0
42.0,99.0,102.916178385,26.2216666667,313.302777778,0.0,0.0
28.0,389.0,496.648925781,390.0,598.861111111,0.0,0.0
26.0,129.0,0.0,0.0,0.0,0.0,0.0
42.0,159.0,0.0,4.0,0.0,0.0,0.0
48.0,159.0,0.0,2.0,223.572222222,0.0,0.0
21.0,389.0,806.544596354,48.86,27.0388888889,0.0,0.0
12.0,39.0,0.0,40.0,13.3472222222,36.23,2.0
48.0,159.0,62.4453125,1.24166666667,45.4527777778,0.0,0.0
39.0,39.0,0.0,60.0,0.0,240.0,4.0
29.0,159.0,0.0,0.0,0.0,0.0,0.0
41.0,129.0,210.939453125,106.078333333,238.961111111,19.13,1.0
26.0,129.0,0.0,0.0,0.0,0.0,0.0
28.0,89.0,0.0,90.0,0.0,180.0,3.0
26.0,129.0,0.0,0.0,0.0,0.0,0.0
17.0,209.0,0.0,0.12,2.63888888889,0.0,0.0
27.0,389.0,1416.11653646,28.4733333333,75.8666666667,50.0,1.0
13.0,129.0,0.0,0.0,0.0,0.0,0.0
41.0,159.0,114.57438151,98.8916666667,268.069444444,1.71,1.0
39.0,159.0,72.3675130208,76.8516666667,706.677777778,0.0,0.0
51.0,159.0,109.163411458,5.85833333333,55.175,0.0,0.0
108.0,159.0,0.0,3.75,0.0,0.0,0.0
28.0,389.0,499.056966146,390.0,637.386111111,0.0,0.0
28.0,89.0,1725.11702474,398.155,1230.25555556,0.0,0.0
61.0,89.0,109.892089844,91.0,440.622222222,0.0,0.0
34.0,159.0,0.0,0.0,0.0,0.0,0.0
36.0,89.0,0.0,81.6666666667,340.280555556,0.0,0.0
26.0,129.0,0.0,0.0,0.0,0.0,0.0
34.0,159.0,0.0,0.216666666667,374.969444444,0.0,0.0
131.0,209.0,0.0,4.97833333333,0.0,0.0,0.0
57.0,159.0,247.407552083,20.495,67.275,0.0,0.0
